slug,snapshots_checked,mismatches,stale_explained,n_events
btc-updown-15m-1764769500,390,16,14,94220
btc-updown-15m-1764780300,230,6,2,56253
btc-updown-15m-1764791100,224,6,6,54637
btc-updown-15m-1764801000,0,0,0,395
btc-updown-15m-1764811800,300,10,10,73633
btc-updown-15m-1764822600,306,16,14,73906
btc-updown-15m-1764833400,172,6,4,41647
btc-updown-15m-1764843300,264,6,4,64037
btc-updown-15m-1764854100,284,4,4,69395
btc-updown-15m-1764864900,322,4,2,77924
btc-updown-15m-1764875700,696,20,14,169337
btc-updown-15m-1764887400,0,0,0,104
btc-updown-15m-1764898200,270,6,6,65479
btc-updown-15m-1764909900,200,2,0,48899
btc-updown-15m-1764919800,232,8,8,55302
btc-updown-15m-1764930600,308,14,12,74250
btc-updown-15m-1764941400,370,10,8,89600
btc-updown-15m-1764952200,368,12,10,90311
btc-updown-15m-1764962100,288,10,6,70728
btc-updown-15m-1764972900,100,2,2,24254
btc-updown-15m-1764983700,228,4,2,54731
btc-updown-15m-1764994500,256,6,2,61388
btc-updown-15m-1765004400,248,10,0,58772
btc-updown-15m-1765015200,234,6,4,56695
btc-updown-15m-1765026000,202,12,10,48695
btc-updown-15m-1765035900,242,8,8,57908
btc-updown-15m-1765046700,244,14,8,58424
btc-updown-15m-1765057500,214,2,2,51012
btc-updown-15m-1765068300,240,18,12,57876
btc-updown-15m-1765078200,124,6,2,29991
btc-updown-15m-1765089000,188,6,6,45244
btc-updown-15m-1765099800,230,16,10,55016
btc-updown-15m-1765110600,264,12,8,63733
btc-updown-15m-1765120500,390,10,4,94754
btc-updown-15m-1765131300,306,12,10,74098
btc-updown-15m-1765165500,0,0,0,178
btc-updown-15m-1765175400,178,8,8,43045
btc-updown-15m-1765186200,378,16,12,90926
btc-updown-15m-1765197000,274,14,12,65824
btc-updown-15m-1765207800,428,20,16,103059
btc-updown-15m-1765217700,350,16,8,84582
btc-updown-15m-1765228500,230,2,2,55572
btc-updown-15m-1765240200,156,4,2,37797
btc-updown-15m-1765251000,146,6,6,34915
btc-updown-15m-1765260900,268,10,6,64320
btc-updown-15m-1765271700,236,8,8,57011
btc-updown-15m-1765282500,132,4,4,31892
btc-updown-15m-1765292400,252,10,4,60906
btc-updown-15m-1765303200,472,14,8,113398
btc-updown-15m-1765314000,416,16,14,100321
btc-updown-15m-1765324800,262,16,8,62334
btc-updown-15m-1765334700,274,10,4,65981
btc-updown-15m-1765345500,244,6,0,58076
btc-updown-15m-1765356300,238,20,8,56983
btc-updown-15m-1765367100,378,10,4,91471
btc-updown-15m-1765377000,706,28,18,171096
btc-updown-15m-1765387800,410,10,8,99469
btc-updown-15m-1765398600,656,14,14,158130
btc-updown-15m-1765408500,184,4,0,44945
btc-updown-15m-1765419300,486,10,6,117942
btc-updown-15m-1765430100,146,0,0,34931
