month,t_sec,token,state,ask_band,n,n_wins,p_win,avg_ask,med_ask_sz,med_top3_ask
2025-10,840,up,two_sided,46,4,2,0.5,0.4675,10.0,538.0
2025-10,840,up,two_sided,48,7,2,0.2857,0.4857,27.0,112.0
2025-10,840,up,two_sided,50,9,3,0.3333,0.5033,43.9,99.0
2025-10,840,up,two_sided,52,4,1,0.25,0.525,10.0,139.4
2025-10,840,up,two_sided,54,5,2,0.4,0.542,10.8,369.0
2025-10,840,up,two_sided,56,6,3,0.5,0.5683,47.3,135.5
2025-10,840,up,two_sided,58,1,1,1.0,0.59,9.0,70.0
2025-10,840,up,two_sided,60,2,1,0.5,0.61,40.3,211.0
2025-10,840,up,two_sided,62,4,2,0.5,0.625,14.0,629.0
2025-10,840,up,two_sided,64,10,7,0.7,0.644,16.5,108.3
2025-10,840,up,two_sided,66,3,3,1.0,0.6667,20.0,345.0
2025-10,840,up,two_sided,68,7,4,0.5714,0.6857,28.0,160.8
2025-10,840,up,two_sided,70,4,4,1.0,0.7025,64.0,298.8
2025-10,840,up,two_sided,72,2,0,0.0,0.73,7.5,367.8
2025-10,840,up,two_sided,74,2,1,0.5,0.745,315.1,336.6
2025-10,840,up,two_sided,76,6,6,1.0,0.7667,9.3,193.0
2025-10,840,up,two_sided,78,11,8,0.7273,0.7836,11.0,129.5
2025-10,840,up,two_sided,80,4,3,0.75,0.805,50.5,81.6
2025-10,840,up,two_sided,82,4,4,1.0,0.825,29.5,304.9
2025-10,840,up,two_sided,84,2,1,0.5,0.845,7.5,276.6
2025-10,840,up,two_sided,86,7,6,0.8571,0.8643,149.5,669.6
2025-10,840,up,two_sided,88,5,4,0.8,0.882,23.0,312.0
2025-10,840,up,two_sided,90,8,8,1.0,0.9038,105.6,135.6
2025-10,840,up,two_sided,92,10,9,0.9,0.922,66.0,524.5
2025-10,840,up,two_sided,94,22,21,0.9545,0.9464,29.4,383.7
2025-10,840,up,two_sided,96,26,25,0.9615,0.9665,125.5,791.7
2025-10,840,up,two_sided,98,77,75,0.974,0.9876,159.9,273.3
2025-10,870,down,ask_only,0,295,0,0.0,0.0097,1288.0,1689.8
2025-10,870,down,ask_only,2,8,0,0.0,0.025,82.7,186.8
2025-10,870,down,ask_only,4,3,0,0.0,0.0433,30.0,117.3
2025-10,870,down,ask_only,6,3,0,0.0,0.0667,13.8,124.7
2025-10,870,down,ask_only,10,1,0,0.0,0.1,4873.1,4953.8
2025-10,870,down,two_sided,0,4,0,0.0,0.0088,854.5,1831.5
2025-10,870,down,two_sided,2,17,1,0.0588,0.0241,53.8,367.1
2025-10,870,down,two_sided,4,18,1,0.0556,0.0439,28.5,131.5
2025-10,870,down,two_sided,6,15,0,0.0,0.0627,21.0,72.5
2025-10,870,down,two_sided,8,10,0,0.0,0.084,19.9,185.9
2025-10,870,down,two_sided,10,6,0,0.0,0.1033,20.2,641.5
2025-10,870,down,two_sided,12,7,0,0.0,0.1243,10.0,137.5
2025-10,870,down,two_sided,14,6,0,0.0,0.1433,12.5,205.9
2025-10,870,down,two_sided,16,7,0,0.0,0.1614,20.0,118.3
2025-10,870,down,two_sided,18,2,0,0.0,0.19,271.4,358.9
2025-10,870,down,two_sided,20,4,0,0.0,0.2025,24.8,44.3
2025-10,870,down,two_sided,22,5,0,0.0,0.224,13.0,90.5
2025-10,870,down,two_sided,24,4,1,0.25,0.2475,13.0,64.2
2025-10,870,down,two_sided,26,4,0,0.0,0.2625,8.8,292.6
2025-10,870,down,two_sided,28,3,0,0.0,0.2833,15.2,45.0
2025-10,870,down,two_sided,30,6,1,0.1667,0.305,20.5,117.6
2025-10,870,down,two_sided,32,1,0,0.0,0.33,10.0,200.1
2025-10,870,down,two_sided,34,2,1,0.5,0.345,28.5,198.0
2025-10,870,down,two_sided,36,3,0,0.0,0.36,14.0,69.0
2025-10,870,down,two_sided,38,4,1,0.25,0.39,58.3,418.5
2025-10,870,down,two_sided,40,2,0,0.0,0.405,26.5,72.0
2025-10,870,down,two_sided,42,3,2,0.6667,0.4267,9.3,633.0
2025-10,870,down,two_sided,44,2,1,0.5,0.45,5.0,83.0
2025-10,870,down,two_sided,46,2,1,0.5,0.465,33.5,120.5
